time,dev-id,humidity,temperature
2024-07-11T00:00:01.000000+0000,24E124136E140283,86.0,15.0
2024-07-11T00:00:18.181000+0000,24E124136E146126,91.0,16.1
2024-07-11T00:01:07.057000+0000,24E124136E146198,96.0,14.7
2024-07-11T00:01:29.520000+0000,24E124136E146128,79.0,16.1
2024-07-11T00:02:25.874000+0000,24E124136E140287,92.0,16.1
2024-07-11T00:02:56.295000+0000,24E124136E146083,79.0,16.1
2024-07-11T00:02:57.856000+0000,24E124136E146080,86.0,14.9
2024-07-11T00:03:10.828000+0000,24E124136E146235,89.5,16.5
2024-07-11T00:03:24.788000+0000,24E124136E146190,84.0,14.6
2024-07-11T00:03:48.102000+0000,24E124136E146087,82.0,15.5
2024-07-11T00:04:29.824000+0000,24E124136E146186,89.5,16.4
2024-07-11T00:04:31.701000+0000,24E124136E146237,89.5,16.5
2024-07-11T00:04:58.993000+0000,24E124136E146118,82.5,15.0
2024-07-11T00:05:03.711000+0000,24E124136E146069,84.0,14.4
2024-07-11T00:05:09.938000+0000,24E124136E146224,89.0,16.4
2024-07-11T00:06:42.322000+0000,24E124136E146218,79.5,16.1
2024-07-11T00:06:44.096000+0000,24E124136E146155,77.0,16.5
2024-07-11T00:08:26.322000+0000,24E124136E146157,87.5,16.7
2024-07-11T00:08:49.697000+0000,24E124136E146167,85.5,17.0
2024-07-11T00:10:01.000000+0000,24E124136E140283,86.5,15.0
2024-07-11T00:10:18.167000+0000,24E124136E146126,91.0,16.1
2024-07-11T00:11:07.086000+0000,24E124136E146198,96.0,14.6
2024-07-11T00:11:29.516000+0000,24E124136E146128,79.5,16.2
2024-07-11T00:12:25.869000+0000,24E124136E140287,91.0,16.1
2024-07-11T00:12:56.285000+0000,24E124136E146083,79.5,16.3
2024-07-11T00:13:10.815000+0000,24E124136E146235,89.5,16.6
2024-07-11T00:13:14.869000+0000,24E124136E140271,89.5,16.4
2024-07-11T00:13:24.777000+0000,24E124136E146190,84.5,14.7
2024-07-11T00:13:48.085000+0000,24E124136E146087,83.5,15.3
2024-07-11T00:14:29.811000+0000,24E124136E146186,89.5,16.5
2024-07-11T00:14:31.692000+0000,24E124136E146237,87.0,16.7
2024-07-11T00:14:58.982000+0000,24E124136E146118,83.0,15.0
2024-07-11T00:15:03.697000+0000,24E124136E146069,85.0,14.2
2024-07-11T00:15:09.922000+0000,24E124136E146224,88.5,16.4
2024-07-11T00:16:42.310000+0000,24E124136E146218,80.0,16.2
2024-07-11T00:16:44.171000+0000,24E124136E146155,77.5,16.4
2024-07-11T00:18:26.318000+0000,24E124136E146157,87.5,16.8
2024-07-11T00:18:49.688000+0000,24E124136E146167,85.0,17.2
2024-07-11T00:20:01.044000+0000,24E124136E140283,86.5,15.0
2024-07-11T00:20:18.214000+0000,24E124136E146126,90.0,16.3
2024-07-11T00:21:07.027000+0000,24E124136E146198,96.0,14.6
2024-07-11T00:21:29.493000+0000,24E124136E146128,81.0,16.1
2024-07-11T00:22:25.854000+0000,24E124136E140287,91.0,16.2
2024-07-11T00:22:56.284000+0000,24E124136E146083,79.5,16.0
2024-07-11T00:22:57.837000+0000,24E124136E146080,85.5,14.6
2024-07-11T00:23:10.798000+0000,24E124136E146235,89.5,16.6
2024-07-11T00:23:14.813000+0000,24E124136E140271,89.0,16.4
2024-07-11T00:23:24.768000+0000,24E124136E146190,85.0,14.5
2024-07-11T00:23:48.075000+0000,24E124136E146087,84.5,15.1
2024-07-11T00:24:29.819000+0000,24E124136E146186,89.0,16.5
2024-07-11T00:24:31.690000+0000,24E124136E146237,87.0,16.9
2024-07-11T00:24:58.958000+0000,24E124136E146118,83.0,15.0
2024-07-11T00:25:03.682000+0000,24E124136E146069,85.0,14.1
2024-07-11T00:25:09.964000+0000,24E124136E146224,88.5,16.5
2024-07-11T00:26:42.305000+0000,24E124136E146218,80.5,16.2
2024-07-11T00:26:44.167000+0000,24E124136E146155,78.5,16.2
2024-07-11T00:28:26.312000+0000,24E124136E146157,87.5,16.9
2024-07-11T00:28:49.672000+0000,24E124136E146167,85.0,17.2
2024-07-11T00:30:01.000000+0000,24E124136E140283,86.5,15.0
2024-07-11T00:30:18.149000+0000,24E124136E146126,90.0,16.3
2024-07-11T00:31:07.070000+0000,24E124136E146198,96.0,14.7
2024-07-11T00:31:29.479000+0000,24E124136E146128,80.0,16.2
2024-07-11T00:32:25.852000+0000,24E124136E140287,91.5,16.1
2024-07-11T00:32:56.262000+0000,24E124136E146083,80.0,15.8
2024-07-11T00:32:57.844000+0000,24E124136E146080,85.0,14.3
2024-07-11T00:33:10.791000+0000,24E124136E146235,89.5,16.6
2024-07-11T00:33:14.809000+0000,24E124136E140271,89.0,16.5
2024-07-11T00:33:24.750000+0000,24E124136E146190,86.0,14.5
2024-07-11T00:33:48.083000+0000,24E124136E146087,84.5,15.0
2024-07-11T00:34:29.791000+0000,24E124136E146186,89.5,16.6
